Fid,Line,E_Nad83,N_Nad83,Lon,Lat,Alt,Height,DEM,Date,Time,Base_Mag,Diurnal,Mag_Filt,Mag_Raw,TMI,RMF,igrf,inc,dec
834253.1,106801,697532.545904411,444281.582049295,-87.7687390942319,44.4500438747402,315.124826671752,47.2431492043083,267.881677467444,2021/01/27,15:44:13,-9999.99,-6.99724815332968,54611.1623272949,54611.1328,54618.1595754483,167.967240760277,54450.192334688,70.8381338552024,-4.43865262020541
834273.1,106801,698069.947551465,444059.015879603,-87.7620665432623,44.4479095799108,310.54796589723,51.6486725542926,258.899293342937,2021/01/27,15:44:33,-9999.99,-6.94324071017328,54562.7677801778,54562.7640441807,54569.711020888,120.577164973176,54449.1338559148,70.8362703228073,-4.44364230995769
834293.1,106801,698581.07447513,443813.682582391,-87.7557322862142,44.4455765805436,296.459753904929,41.8674634948807,254.592290410048,2021/01/27,15:44:53,-9999.99,-6.91545700240456,54540.862086756,54540.7445720359,54547.7775437585,99.5045521403154,54448.2729916181,70.8342849290281,-4.44833493815673
834313.1,106801,699045.372720317,443554.422409027,-87.7499913867772,44.4431295459572,307.439756387643,53.030579168259,254.409177219384,2021/01/27,15:45:13,-9999.99,-7.01458020655985,54515.4709759607,54515.5177,54522.4855561673,75.797047907392,54446.6885082599,70.8322228236259,-4.45251061370771
834333.1,106801,699551.889095247,443450.145711627,-87.7436671764406,44.4420659590158,301.879580044995,47.4519154332094,254.427664611786,2021/01/27,15:45:33,-9999.99,-7.09158368718175,54516.3559803038,54516.3831,54523.447563991,77.3281454312528,54446.1194185597,70.8311555394535,-4.45740173675866
834353.1,106801,699998.223623057,443244.838918622,-87.7381339649976,44.440108155881,297.303861746164,31.9976991523212,265.306162593843,2021/01/27,15:45:53,-9999.99,-7.04427314822939,54500.7590268518,54500.6913076227,54507.8033,62.6198608251361,54445.1834391749,70.8294718761021,-4.46150642747356
834373.1,106801,700445.465517977,443031.448524073,-87.7325925524609,44.438077147137,312.728192487705,30.1357839321954,282.592408555509,2021/01/27,15:46:13,-9999.99,-6.98401355022213,54514.4579291032,54514.4529377148,54521.4419426534,77.78561967305,54443.6563229804,70.8277174628628,-4.46558744023716
834461.1,106901,700743.63328959,442110.625478326,-87.7291697853835,44.4297192450511,308.226658696925,31.2124784223105,277.014180274614,2021/01/27,15:47:41,-9999.99,-6.98072012607126,54558.6093336709,54558.6919,54565.590053797,125.456715828164,54440.1333379688,70.821463985712,-4.4669162445747
834481.1,106901,700381.636399136,442259.330656286,-87.7336625861348,44.4311472694992,298.886957075463,23.3580814197463,275.528875655717,2021/01/27,15:48:01,-9999.99,-6.92341253176232,54546.1678546549,54546.2051196976,54553.0912671867,111.899485963768,54441.1917812229,70.8227246674534,-4.46356821106325
834501.1,106901,700022.78808796,442405.768391795,-87.7381168692803,44.4325539406327,302.343430365174,27.1442705576547,275.199159807519,2021/01/27,15:48:21,-9999.99,-6.89528532809831,54563.1413786547,54563.1418,54570.0366639828,128.155443606025,54441.8812203768,70.8239571092412,-4.46023599837429
834521.1,106901,699644.520212633,442559.081330581,-87.7428128032315,44.434027111019,310.70616392087,40.8682476391585,269.837916281711,2021/01/27,15:48:41,-9999.99,-6.89100286018794,54569.6765175722,54569.6839,54576.5675204324,134.095871270016,54442.4716491624,70.8252450519431,-4.45671696376526
834541.1,106901,699262.800925329,442686.432691732,-87.7475612893819,44.4352674011602,304.833298626414,35.4933136498034,269.339984976611,2021/01/27,15:49:01,-9999.99,-6.83042899380264,54583.7614078482,54583.579182213,54590.591836842,147.226656649043,54443.3651801929,70.8263770553072,-4.45312846137536
834561.1,106901,698895.24594771,442878.225467067,-87.752109905294,44.4370837031653,308.793346440421,38.3908943838619,270.402452056559,2021/01/27,15:49:21,-9999.99,-6.78041942179167,54601.1370037442,54601.0403,54607.9174231659,163.702017866184,54444.2154052998,70.8279113970304,-4.4497887430861
